,proteinName,affinity,ligandName
693,4g0p,3.01,(U5P)
694,5jan,3.01,(6HP)
695,2vmd,3.02,(MBG)
696,3dc2,3.02,(TLA)
697,3fuk,3.02,(58Z)
698,4q81,3.02,(7MH)
699,4xm8,3.02,(41T)
700,5z4h,3.02,(A8K)
701,6f6n,3.02,(SRE)
702,1ogd,3.03,(RIP)
703,1ws5,3.03,(MAM)
704,2ggu,3.03,(MLR)
705,2ha3,3.03,(CHT)
706,3adv,3.03,(SRO)
707,3esj,3.03,(CC7)
708,4lm2,3.03,(8ZE)
709,4qp2,3.03,(36R)
710,5aoi,3.03,(RZH)
711,1rtf,3.04,(BEN)
713,3ay0,3.04,(ADN)
714,3t08,3.04,(IPT)
715,3t1m,3.04,(DQT)
716,3zvv,3.04,(XAZ)
717,4i7k,3.04,(MBN)
718,4lm4,3.04,(JPZ)
719,5fls,3.04,(6ZX)
720,1f74,3.05,(NAY)
722,1gzg,3.05,(LAF)
723,1o41,3.05,(300)
724,1pum,3.05,(GLB)
725,1uj5,3.05,(5RP)
726,1uj6,3.05,(A5P)
727,2ohl,3.05,(2AQ)
728,2vcw,3.05,(ZZA)
729,4g5f,3.05,(0JD)
730,4guj,3.05,(SKM)
731,4u5v,3.05,(RH2)
732,5abe,3.05,(XQO)
733,5ort,3.05,(A5Z)
734,2jfh,3.06,(LK1)
736,3atm,3.06,(TSS)
737,3hw1,3.06,(EV2)
738,3rxi,3.06,(TSS)
739,3rxj,3.06,(GBS)
741,4nyi,3.06,(2PX)
742,1rnm,3.07,(C5P)
743,1s26,3.07,(APC)
744,3mof,3.07,(OXL)
745,4yrs,3.07,(4JS)
746,1hiy,3.08,(3AN)
747,1y1z,3.08,(192)
748,4yv1,3.08,(4K2)
749,5ehv,3.08,(5ON)
750,6ew6,3.08,(C0H)
751,1mdl,3.09,(RMN)
752,1ugw,3.09,(GAL)
753,4eh5,3.09,(0OM)
756,1ec9,3.1,(XYH)
757,1pu7,3.1,(39A)
758,1pu8,3.1,(EA1)
759,1swi,3.1,(BNZ)
760,2xdl,3.1,(2DL)
761,3buf,3.1,(AEG)
762,3f78,3.1,(ICF)
764,4cjr,3.1,(FYM)
766,4kz6,3.1,(ZB6)
769,4y2j,3.1,(49G)
770,4y64,3.1,(48C)
771,5aqq,3.1,(BBW)
772,5cr7,3.1,(5WO)
773,5eh8,3.1,(5O6)
775,5lzg,3.1,(7BN)
776,5lzh,3.1,(7BN)
777,5orw,3.1,(A6E)
778,1k2i,3.11,(SN1)
779,1uod,3.11,(G3H)
780,2ay6,3.11,(3IB)
782,2lwi,3.11,(KOB)
783,3c2r,3.11,(PHT)
784,3msj,3.11,(EV3)
785,4aj1,3.11,(AJ1)
786,4ajk,3.11,(88S)
787,4d52,3.11,(GIV)
788,4gbz,3.11,(BGC)
789,4wf4,3.11,(WF4)
790,5enb,3.11,(5Q5)
793,4bt3,3.12,(WTZ)
794,4cgi,3.12,(NZL)
795,4uct,3.12,(5U1)
796,5ey4,3.12,(DTP)
797,1ax0,3.13,(A2G)
798,3kac,3.13,(4BX)
799,5c5t,3.13,(AKG)
800,2f1a,3.14,(GB2)
801,2ya7,3.14,(ZMR)
802,3odk,3.14,(ODK)
803,4b34,3.14,(ABV)
804,6cea,3.14,(EYY)
805,1e6q,3.15,(NTZ)
806,1eei,3.15,(GAA)
808,1noi,3.15,(NTZ)
809,1noj,3.15,(NTZ)
810,1nok,3.15,(NTZ)
811,1rin,3.15,(MAN)
812,2fr8,3.15,(NAD)
813,2p8n,3.15,(ADE)
814,3cgy,3.15,(RDC)
815,3e73,3.15,(GSH)
816,4de5,3.15,(0JD)
817,4fzj,3.15,(0W1)
818,4lw1,3.15,(1XS)
820,5e5g,3.15,(DTR)
821,5flo,3.15,(J4K)
822,5fnf,3.15,(TQL)
823,2ymd,3.16,(SRO)
824,3ad8,3.16,(PYC)
825,3ecn,3.16,(IBM)
826,3f34,3.16,(DIE)
827,3f35,3.16,(DIE)
828,3kpu,3.16,(ES1)
829,3lk0,3.16,(Z80)
830,4eh2,3.16,(0OK)
832,5n1x,3.16,(8HH)
833,4hnc,3.17,(0UT)
834,4uce,3.17,(MZS)
838,5ose,3.17,(A98)
839,6cv8,3.17,(I3P)
840,1b9s,3.18,(FDI)
841,1lbk,3.18,(GSH)
842,1ro7,3.18,(CSF)
843,2wik,3.18,(TC5)
844,3at1,3.18,(PCT)
845,3bug,3.18,(AEH)
846,3kid,3.18,(2BS)
848,2zdx,3.19,(P4A)
849,3dxh,3.19,(UDP)
850,3g1v,3.19,(5FU)
852,4mlx,3.19,(TM7)
853,6f6i,3.19,(8PR)
854,1axz,3.2,(GAL)
856,2w0x,3.2,(PD2)
857,2wij,3.2,(TN7)
858,3kab,3.2,(4BL)
859,4nrm,3.2,(FLC)
860,5cs6,3.2,(K82)
861,5d9p,3.2,(NBG)
862,5flp,3.2,(6J5)
863,5ijr,3.2,(HRG)
864,1s5z,3.21,(SON)
865,3fty,3.21,(3IP)
866,5mwo,3.21,(J6W)
867,5osd,3.21,(A9B)
868,6tim,3.21,(G3P)
869,1br6,3.22,(PT1)
870,1e6s,3.22,(GOX)
871,1e72,3.22,(GOX)
873,1ew9,3.22,(MMQ)
874,1k1y,3.22,(ACR)
876,1qwu,3.22,(GUL)
877,1tog,3.22,(HCI)
878,1x6u,3.22,(DO8)
879,1zc9,3.22,(PMP)
880,2bv4,3.22,(MMA)
881,2ri9,3.22,(LDY)
882,2uy3,3.22,(H33)
883,3aru,3.22,(PNX)
884,3i8t,3.22,(LBT)
885,4n5d,3.22,(2FQ)
886,4tyl,3.22,(39O)
887,4wn0,3.22,(G3P)
889,5ou2,3.22,(36Y)
890,5y79,3.22,(3PG)
891,1px4,3.23,(IPT)
892,2gmk,3.23,(AMP)
893,3zsy,3.23,(OM3)
894,4kc4,3.23,(WS3)
895,4lm1,3.23,(7ZE)
896,4unp,3.23,(TXW)
897,5ene,3.23,(5Q8)
898,5qay,3.23,(X6P)
899,2r8q,3.24,(IBM)
901,4b2l,3.24,(TR7)
902,4k60,3.24,(1P8)
903,4luo,3.24,(1DZ)
904,4qlk,3.24,(CTT)
905,4y2u,3.24,(49R)
906,5o0a,3.24,(9FH)
908,6g9b,3.24,(IXX)
909,1v2j,3.25,(BEN)
910,2ndo,3.25,(SFQ)
911,3ta1,3.25,(ADP)
912,4lm0,3.25,(5NI)
913,4zij,3.25,(SFQ)
915,1l5s,3.26,(URC)
916,3t1l,3.26,(MQT)
917,4egh,3.26,(0OY)
919,4wkt,3.26,(BUB)
920,5yas,3.26,(FAC)
921,1axr,3.27,(HTP)
922,3ioe,3.27,(A7D)
