proteinName,affinity,ligandName
1ukt,2.25,(4-mer)
1ew8,2.26,(PAE)
3ao1,2.26,(BZX)
4eh9,2.26,(0OQ)
4np2,2.26,(2L1)
5v6u,2.26,(8YM)
1hge,2.27,(MNA)
1uto,2.27,(PEA)
4ahu,2.27,(ICO)
4mfe,2.27,(3PY)
1ps3,2.28,(KIF)
2rjs,2.28,(296)
3fu0,2.28,(22F)
3ip8,2.28,(B85)
2ay1,2.29,(AHC)
4ddk,2.29,(0HN)
4ehv,2.29,(0SJ)
5fnj,2.29,(YI6)
1hyv,2.3,(TTA)
1inh,2.3,(ST6)
1jdj,2.3,(CFP)
1n1g,2.3,(BCP)
1o4g,2.3,(I59)
1uxa,2.3,(SIA-GAL)
1w1p,2.3,(GIO)
2ay7,2.3,(CLT)
2hdu,2.3,(F12)
2xix,2.3,(XIX)
2xlc,2.3,(DEP)
3dyo,2.3,(IPT)
3kgq,2.3,(CIT)
3mhw,2.3,(ABV)
3pcg,2.3,(4HP)
3rv4,2.3,(ADP)
4b6e,2.3,(10L)
4e3d,2.3,(GTQ)
4g0y,2.3,(AMP)
4jsz,2.3,(FB2)
4led,2.3,(XXR)
4wh7,2.3,(8H8)
5enc,2.3,(5QD)
5eni,2.3,(5QA)
5enj,2.3,(5Q9)
5g42,2.3,(4TU)
6gmq,2.3,(F4K)
1m0o,2.31,(MPM)
4y0a,2.31,(SKM)
5mz8,2.31,(SIN)
2qve,2.32,(247)
5aol,2.32,(UFV)
1z6d,2.34,(IMP)
4iie,2.34,(CGB)
5elf,2.34,(5-mer)
1qi0,2.35,(CBI)
3gtc,2.35,(GTC)
4k3k,2.35,(SFK)
4y3y,2.35,(DCL)
1o4j,2.36,(IS2)
3g2z,2.36,(GZ2)
5fsc,2.36,(G8Z)
3t0d,2.37,(149)
4jck,2.37,(1LL)
6rnt,2.37,(2AM)
3f6e,2.38,(8PA)
4aj2,2.38,(52C)
1f73,2.39,(HMN)
1nwl,2.39,(964)
4nyt,2.39,(PC)
4tya,2.39,(3AE)
1cam,2.4,(BCT)
2wi1,2.4,(ZZ2)
3dxg,2.4,(U5P)
3l7b,2.4,(DKZ)
3pcb,2.4,(3HB)
3t2t,2.4,(MQT)
4u5l,2.4,(3D6)
4y38,2.4,(0A9)
4zsm,2.4,(4RW)
1o4r,2.41,(787)
2wsx,2.41,(NM2)
4u5s,2.41,(3D0)
4u5o,2.42,(3D5)
5os3,2.43,(A7N)
1o4h,2.44,(772)
1oba,2.44,(CHT)
1t4s,2.44,(VAL)
2i2b,2.44,(CC5)
2xiy,2.44,(XIY)
3ked,2.44,(DAB)
3l7c,2.44,(DK4)
3mjl,2.44,(2AI)
4d62,2.44,(SIA)
1gbq,2.46,(10-mer)
1o4o,2.46,(HPS)
2aez,2.46,(DQR)
3l79,2.46,(DKX)
4ah9,2.46,(0MB)
4ddm,2.46,(0HO)
4eh6,2.46,(0ON)
4x8u,2.46,(3ZB)
5aqh,2.46,(ZVO)
1tok,2.47,(MAE)
1utl,2.47,(PRA)
3rik,2.47,(3RI)
4gne,2.47,(7-mer)
4y4j,2.47,(LNR)
5dv4,2.47,(NMY)
5jal,2.47,(6HO)
6fhq,2.47,(DE5)
1gyx,2.48,(BEZ)
4u5n,2.48,(3D4)
4ze6,2.48,(011)
5mn1,2.48,(2AP)
5mnb,2.48,(2AP)
5mnx,2.48,(2AP)
5mon,2.48,(2AP)
1o4q,2.49,(256)
4efk,2.49,(0OC)
4ej2,2.49,(D1F)
4kz7,2.49,(1U5)
1ai4,2.5,(DHY)
3g30,2.51,(G30)
4ctj,2.51,(3A9)
1rq2,2.52,(CIT)
1wdr,2.52,(MAL)
3ad7,2.52,(MTG)
3bf1,2.52,(ADP)
3fq7,2.52,(PXG)
3gr2,2.52,(GF4)
3mfv,2.52,(Z70)
3vdb,2.52,(149)
4e3f,2.52,(GRE)
4g0q,2.52,(C5P)
4urz,2.52,(VJP)
5f6d,2.52,(5VJ)
5f6u,2.52,(5VK)
4hj2,2.53,(LZ6)
1iup,2.54,(ALQ)
1il3,2.55,(7DG)
1kf0,2.55,(ACP)
3b3s,2.55,(LEU)
3ovn,2.55,(MPV)
5eif,2.55,(4M0)
5n53,2.55,(8NB)
5os0,2.55,(A6Z)
1gwv,2.57,(LAT)
2ria,2.57,(289)
2wq4,2.57,(SFU)
3kgp,2.57,(4AZ)
5v4q,2.57,(8WY)
2ay5,2.59,(IOP)
2jst,2.59,(HLT)
3gvb,2.59,(3GV)
4o3a,2.59,(ASP)
4o3c,2.59,(ASP)
4wef,2.59,(DF4)
5tpb,2.59,(3-mer)
1o4p,2.6,(791)
2c4v,2.6,(CIT)
2r5a,2.6,(MLZ)
3gwv,2.6,(RFX)
3rxf,2.6,(4AP)
4up5,2.6,(94W)
5g46,2.6,(6VD)
1cze,2.62,(SIN)
1w1y,2.62,(TYP)
2kfh,2.62,(12-mer)
3f37,2.62,(2MY)
3f38,2.62,(2MY)
3fk1,2.62,(GPF)
3rxl,2.62,(SZ9)
4lnf,2.62,(GLN)
4lno,2.62,(GLN)
5foo,2.62,(JAZ)
5lvd,2.62,(79F)
1ajn,2.63,(AAN)
1g5f,2.64,(DCE)
1o4i,2.64,(219)
3p1d,2.64,(MB3)
4i8x,2.64,(6P3)
4q7w,2.64,(6MH)
4q8y,2.64,(HQT)
4ufl,2.64,(DZX)
6fhu,2.64,(3-mer)
5ey0,2.65,(GTP)
1il5,2.66,(DDP)
3a1e,2.66,(ACP)
3rxb,2.66,(ALG)
4y2p,2.66,(3C5)
5eld,2.66,(5-mer)
3lvw,2.67,(GSH)
1hgi,2.68,(ANA)
1o8b,2.68,(ABF)
2q72,2.68,(IXX)
3rxk,2.68,(SZ8)
4b3c,2.68,(5H1)
4b3d,2.68,(5MI)
5aqj,2.68,(Q88)
5aqp,2.68,(1LQ)
3elc,2.69,(F01)
4usw,2.69,(ATP)
5k5s,2.69,(TRP)
1br5,2.7,(NEO)
1gym,2.7,(MYG)
1lt5,2.7,(TDG)
1tc1,2.7,(FMB)
1ylv,2.7,(SHF)
2fzc,2.7,(EOP)
2ha4,2.7,(ACH)
2krd,2.7,(17-mer)
2ohk,2.7,(1SQ)
2ow6,2.7,(NK1)
2uyn,2.7,(2KT)
3bra,2.7,(AEF)
3ftz,2.7,(848)
3fud,2.7,(692)
3fuf,2.7,(14O)
3fuh,2.7,(5H1)
3gk2,2.7,(27A)
3gsg,2.7,(GF1)
3hvg,2.7,(EV0)
3rqw,2.7,(ACH)
3sl0,2.7,(FB5)
3zsw,2.7,(ZSW)
3zsz,2.7,(OM2)
3zt1,2.7,(OM1)
4h4b,2.7,(11H)
4okp,2.7,(2V0)
4old,2.7,(2UZ)
4wks,2.7,(3QD)
4ypf,2.7,(4FS)
4yrc,2.7,(0P6)
4yrg,2.7,(4HU)
4yrr,2.7,(691)
5aok,2.7,(GOH)
6fty,2.7,(E7H)
4kpz,2.71,(1SF)
1pfu,2.72,(MPJ)
2rkd,2.72,(3PP)
3p4r,2.72,(GUA)
5fsx,2.72,(ADP)
1dg9,2.74,(EPE)
2qwb,2.74,(SIA)
2vyt,2.74,(MLZ)
4m6u,2.74,(TTN)
4ndu,2.74,(AMG)
5os2,2.74,(A7K)
1rql,2.75,(VSO)
5oyd,2.75,(7-mer)
1ny2,2.76,(5-mer)
4bt5,2.76,(23B)
5er4,2.76,(5RL)
2bet,2.77,(DEZ)
2p3o,2.77,(GTA)
3fcq,2.77,(M3S)
3l0n,2.77,(S5P)
4a4h,2.77,(DA2)
4g5y,2.77,(0OC)
4kz3,2.77,(1U1)
4urv,2.77,(UMK)
4ykk,2.77,(DSN)
5aqn,2.77,(JG8)
5oug,2.77,(9Z0)
6er4,2.77,(3-mer)
2yiv,2.78,(NBN)
3ftw,2.78,(11X)
4yrt,2.78,(781)
5os4,2.78,(A8H)
2bge,2.8,(T2D)
2bza,2.8,(ABN)
3zt4,2.8,(ZT2)
4kz8,2.8,(1U6)
4urw,2.8,(DXO)
4yw2,2.8,(2-mer)
5fbi,2.8,(5WD)
5fov,2.8,(6-mer)
5hki,2.8,(6ZJ)
5ofw,2.8,(9TW)
3djx,2.81,(C5P)
4eh4,2.81,(0OL)
4oyt,2.81,(FON)
4rrg,2.81,(A3T)
1czc,2.82,(GUA)
1p17,2.82,(IMP)
2a3a,2.82,(TEP)
2rib,2.82,(GMH)
2w6z,2.82,(L21)
2xj0,2.82,(XJ0)
2yc0,2.82,(2HG)
3fue,2.82,(11S)
3lka,2.82,(M4S)
3ppr,2.82,(4CS)
4dsu,2.82,(BZI)
4k7i,2.82,(CAQ)
4pb1,2.82,(RBV)
4z46,2.82,(1PT)
5aip,2.82,(4HP)
6cw4,2.82,(FGV)
6evm,2.82,(9-mer)
6mj7,2.82,(ARG)
4yz5,2.83,(SLT)
3fu3,2.84,(92G)
3moh,2.84,(PGA)
3zt2,2.84,(ZT2)
4cgj,2.84,(NZL)
1il4,2.85,(9DG)
2a29,2.85,(ANP)
2ork,2.85,(IPD)
3atk,2.85,(SZ1)
3k3g,2.85,(MMU)
3rxa,2.85,(SZ1)
3udh,2.85,(091)
4luv,2.85,(1XS)
4mlt,2.85,(TM4)
4x47,2.85,(DAN)
4ym2,2.85,(SGA-BGC)
5aqo,2.85,(CWS)
5th4,2.85,(BEW)
3qx8,2.86,(GTG)
3zt3,2.86,(ZT4)
4ouj,2.86,(LBT)
4pd5,2.86,(GEO)
5z1c,2.86,(ZXI)
4fgz,2.87,(CQA)
5thj,2.87,(0TR)
1e34,2.88,(TPX)
2woq,2.88,(AYC)
4a4f,2.88,(2MR)
4ucv,2.88,(I6G)
1cet,2.89,(CLQ)
1iih,2.89,(3PG)
1ugp,2.89,(BUA)
2k2r,2.89,(10-mer)
2wpb,2.89,(ZZI)
2wtx,2.89,(VDO)
3f36,2.89,(IP0)
3g31,2.89,(GF1)
4b35,2.89,(4ME)
4cd8,2.89,(2-mer)
4gqq,2.89,(0XR)
4kzb,2.89,(NZ2)
4llx,2.89,(5ZE)
4u5u,2.89,(3D2)
4urx,2.89,(HXY)
5aes,2.89,(5B0)
5flt,2.89,(VJJ)
5ngz,2.89,(2BG)
5orv,2.89,(A65)
6b7b,2.89,(CWJ)
6f6s,2.89,(CXQ)
6mvu,2.89,(K4V)
3c2u,2.9,(B3P)
5aom,2.9,(FY8)
5dv2,2.9,(C5P)
1ms0,2.91,(DAN)
2ay4,2.91,(PPT)
2pri,2.91,(D6G)
4kc1,2.91,(WS1)
1eef,2.92,(2-mer)
1h2k,2.92,(OGA)
1o4k,2.92,(PSN)
1p6e,2.92,(PC5)
1zp5,2.92,(2NI)
2aa9,2.92,(SKM)
2aay,2.92,(SKM)
2fkf,2.92,(G16)
2fw6,2.92,(CIT)
2fwp,2.92,(CIT)
2kfg,2.92,(12-mer)
3alt,2.92,(MLB)
3iaf,2.92,(TPP)
3k8c,2.92,(RES)
4ai5,2.92,(ADK)
4ef6,2.92,(I2E)
4lm3,2.92,(9ZE)
4u4s,2.92,(3C1)
4x14,2.92,(4-mer)
4y2q,2.92,(49N)
4zki,2.92,(ADP)
5c0k,2.92,(4WK)
5ct2,2.92,(CXS)
5x4m,2.92,(7ZF)
6fv4,2.92,(16G)
1tng,2.93,(AMC)
3ftv,2.93,(11X)
4zv2,2.93,(GLN)
1p6d,2.94,(3PC)
2vmc,2.94,(NGA)
4y62,2.95,(48E)
1f4e,2.96,(TPR)
1w1t,2.96,(CHQ)
1ykp,2.96,(DHB)
2br6,2.96,(HSL)
2kdh,2.96,(KDH)
2w8j,2.96,(PLS)
3g34,2.96,(1CE)
3imc,2.96,(BZ3)
3img,2.96,(BZ3)
4bgy,2.96,(3-mer)
4dst,2.96,(9LI)
4k3l,2.96,(2-mer)
4mrg,2.96,(24W)
4owm,2.96,(3F0)
5fng,2.96,(YIE)
2hw2,2.97,(RFP)
4ceb,2.97,(ZSV)
5flq,2.97,(IO2)
2rnw,2.98,(15-mer)
3ckb,2.98,(MLR)
3djq,2.98,(UDP)
4ibc,2.98,(12G)
5aba,2.98,(UL7)
5aqu,2.98,(UX0)
3ump,2.99,(ATP)
4a4g,2.99,(DA2)
4bps,2.99,(3EB)
1ecq,3,(DXG)
1hqg,3,(ORN)
1mcz,3,(RMN)
1ux7,3,(3-mer)
1w7h,3,(3IP)
1wbg,3,(L03)
1wbo,3,(2CH)
1ws4,3,(GYP)
1yc5,3,(NCA)
1z9h,3,(IMN)
1zm7,3,(TTP)
2f1b,3,(GB3)
2h2e,3,(SA8)
2q8h,3,(TF4)
2r0y,3,(13-mer)
2rka,3,(PGA)
2v3u,3,(DSN)
2vin,3,(505)
2vtm,3,(LZM)
2wa3,3,(A29)
2xgm,3,(LXN)
2xgo,3,(ZKD)
2xp3,3,(B21)
2ych,3,(ATP)
3ap7,3,(3-mer)
3d9o,3,(14-mer)
3eka,3,(ASC)
3grj,3,(G14)
3ime,3,(BZ2)
3nf8,3,(CDQ)
3nk8,3,(JKZ)
3ob0,3,(2M6)
4b2i,3,(LZ1)
4fe9,3,(MTT)
4k0o,3,(NAG-MBG)
4k5z,3,(1P7)
4k64,3,(3-mer)
4k72,3,(10-mer)
4l51,3,(HSX)
4l5j,3,(HSX)
4lkh,3,(SIA-NAG)
4llk,3,(MEW)
4m5r,3,(MSR)
4o7d,3,(ONL)
4oyp,3,(BZ2)
4oz2,3,(1Z6)
4r3w,3,(A2P)
4txs,3,(3AQ)
4u0w,3,(16G)
4wh9,3,(3M8)
5a5o,3,(J5I)
5aqr,3,(N8Y)
5c7b,3,(4YD)
5ehw,3,(5OO)
5fnq,3,(S0W)
5jah,3,(6HQ)
5l97,3,(6RW)
5lz2,3,(7BX)
5tpc,3,(6-mer)
5u66,3,(15-mer)
5ye8,3,(8U3)
6fh6,3,(D8Q)
6fh7,3,(EN2)
6ftz,3,(E7E)
6gjy,3,(F1Z)
1g42,3.01,(CP2)
1utm,3.01,(PEA)
4g0p,3.01,(U5P)
5jan,3.01,(6HP)
2vmd,3.02,(MBG)
3dc2,3.02,(TLA)
3fuk,3.02,(58Z)
4q81,3.02,(7MH)
4xm8,3.02,(41T)
5z4h,3.02,(A8K)
6f6n,3.02,(SRE)
1ogd,3.03,(RIP)
1ws5,3.03,(MAM)
2ggu,3.03,(MLR)
2ha3,3.03,(CHT)
3adv,3.03,(SRO)
3esj,3.03,(CC7)
4lm2,3.03,(8ZE)
4qp2,3.03,(36R)
5aoi,3.03,(RZH)
1rtf,3.04,(BEN)
2pcu,3.04,(5-mer)
3ay0,3.04,(ADN)
3t08,3.04,(IPT)
3t1m,3.04,(DQT)
3zvv,3.04,(XAZ)
4i7k,3.04,(MBN)
4lm4,3.04,(JPZ)
5fls,3.04,(6ZX)
1f74,3.05,(NAY)
1gvk,3.05,(4-mer)
1gzg,3.05,(LAF)
1o41,3.05,(300)
1pum,3.05,(GLB)
1uj5,3.05,(5RP)
1uj6,3.05,(A5P)
2ohl,3.05,(2AQ)
2vcw,3.05,(ZZA)
4g5f,3.05,(0JD)
4guj,3.05,(SKM)
4u5v,3.05,(RH2)
5abe,3.05,(XQO)
5ort,3.05,(A5Z)
2jfh,3.06,(LK1)
2ksa,3.06,(11-mer)
3atm,3.06,(TSS)
3hw1,3.06,(EV2)
3rxi,3.06,(TSS)
3rxj,3.06,(GBS)
4csy,3.06,(SIA-MAG-GAL-FUC)
4nyi,3.06,(2PX)
1rnm,3.07,(C5P)
1s26,3.07,(APC)
3mof,3.07,(OXL)
4yrs,3.07,(4JS)
1hiy,3.08,(3AN)
1y1z,3.08,(192)
4yv1,3.08,(4K2)
5ehv,3.08,(5ON)
6ew6,3.08,(C0H)
1mdl,3.09,(RMN)
1ugw,3.09,(GAL)
4eh5,3.09,(0OM)
1a5v,3.1,(_Y3)
1af2,3.1,(__U)
1ec9,3.1,(XYH)
1pu7,3.1,(39A)
1pu8,3.1,(EA1)
1swi,3.1,(BNZ)
2xdl,3.1,(2DL)
3buf,3.1,(AEG)
3f78,3.1,(ICF)
3mo8,3.1,(12-mer)
4cjr,3.1,(FYM)
4j79,3.1,(6-mer)
4kz6,3.1,(ZB6)
4pl6,3.1,(11-mer)
4pxf,3.1,(11-mer)
4y2j,3.1,(49G)
4y64,3.1,(48C)
5aqq,3.1,(BBW)
5cr7,3.1,(5WO)
5eh8,3.1,(5O6)
5ggo,3.1,(2-mer)
5lzg,3.1,(7BN)
5lzh,3.1,(7BN)
5orw,3.1,(A6E)
1k2i,3.11,(SN1)
1uod,3.11,(G3H)
2ay6,3.11,(3IB)
2lto,3.11,(13-mer)
2lwi,3.11,(KOB)
3c2r,3.11,(PHT)
3msj,3.11,(EV3)
4aj1,3.11,(AJ1)
4ajk,3.11,(88S)
4d52,3.11,(GIV)
4gbz,3.11,(BGC)
4wf4,3.11,(WF4)
5enb,3.11,(5Q5)
1h9l,3.12,(5-mer)
2ksb,3.12,(11-mer)
4bt3,3.12,(WTZ)
4cgi,3.12,(NZL)
4uct,3.12,(5U1)
5ey4,3.12,(DTP)
1ax0,3.13,(A2G)
3kac,3.13,(4BX)
5c5t,3.13,(AKG)
2f1a,3.14,(GB2)
2ya7,3.14,(ZMR)
3odk,3.14,(ODK)
4b34,3.14,(ABV)
6cea,3.14,(EYY)
1e6q,3.15,(NTZ)
1eei,3.15,(GAA)
1k9q,3.15,(5-mer)
1noi,3.15,(NTZ)
1noj,3.15,(NTZ)
1nok,3.15,(NTZ)
1rin,3.15,(MAN)
2fr8,3.15,(NAD)
2p8n,3.15,(ADE)
3cgy,3.15,(RDC)
3e73,3.15,(GSH)
4de5,3.15,(0JD)
4fzj,3.15,(0W1)
4lw1,3.15,(1XS)
4x0z,3.15,(4-mer)
5e5g,3.15,(DTR)
5flo,3.15,(J4K)
5fnf,3.15,(TQL)
2ymd,3.16,(SRO)
3ad8,3.16,(PYC)
3ecn,3.16,(IBM)
3f34,3.16,(DIE)
3f35,3.16,(DIE)
3kpu,3.16,(ES1)
3lk0,3.16,(Z80)
4eh2,3.16,(0OK)
4pli,3.16,(11-mer)
5n1x,3.16,(8HH)
4hnc,3.17,(0UT)
4uce,3.17,(MZS)
4x3i,3.17,(7-mer)
5fot,3.17,(6-mer)
5fox,3.17,(6-mer)
5ose,3.17,(A98)
6cv8,3.17,(I3P)
1b9s,3.18,(FDI)
1lbk,3.18,(GSH)
1ro7,3.18,(CSF)
2wik,3.18,(TC5)
3at1,3.18,(PCT)
3bug,3.18,(AEH)
3kid,3.18,(2BS)
1o6i,3.19,(0HZ)
2zdx,3.19,(P4A)
3dxh,3.19,(UDP)
3g1v,3.19,(5FU)
4gzx,3.19,(2-mer)
4mlx,3.19,(TM7)
6f6i,3.19,(8PR)
1axz,3.2,(GAL)
2nd0,3.2,(19-mer)
2w0x,3.2,(PD2)
2wij,3.2,(TN7)
3kab,3.2,(4BL)
4nrm,3.2,(FLC)
5cs6,3.2,(K82)
5d9p,3.2,(NBG)
5flp,3.2,(6J5)
5ijr,3.2,(HRG)
1s5z,3.21,(SON)
3fty,3.21,(3IP)
5mwo,3.21,(J6W)
5osd,3.21,(A9B)
6tim,3.21,(G3P)
1br6,3.22,(PT1)
1e6s,3.22,(GOX)
1e72,3.22,(GOX)
1evh,3.22,(7-mer)
1ew9,3.22,(MMQ)
1k1y,3.22,(ACR)
1q5l,3.22,(7-mer)
1qwu,3.22,(GUL)
1tog,3.22,(HCI)
1x6u,3.22,(DO8)
1zc9,3.22,(PMP)
2bv4,3.22,(MMA)
2ri9,3.22,(LDY)
2uy3,3.22,(H33)
3aru,3.22,(PNX)
3i8t,3.22,(LBT)
4n5d,3.22,(2FQ)
4tyl,3.22,(39O)
4wn0,3.22,(G3P)
5n1y,3.22,(10-mer)
5ou2,3.22,(36Y)
5y79,3.22,(3PG)
1px4,3.23,(IPT)
2gmk,3.23,(AMP)
3zsy,3.23,(OM3)
4kc4,3.23,(WS3)
4lm1,3.23,(7ZE)
4unp,3.23,(TXW)
5ene,3.23,(5Q8)
5qay,3.23,(X6P)
2r8q,3.24,(IBM)
3qfz,3.24,(NOJ-SO4)
4b2l,3.24,(TR7)
4k60,3.24,(1P8)
4luo,3.24,(1DZ)
4qlk,3.24,(CTT)
4y2u,3.24,(49R)
5o0a,3.24,(9FH)
6er3,3.24,(2-mer)
6g9b,3.24,(IXX)
1v2j,3.25,(BEN)
2ndo,3.25,(SFQ)
3ta1,3.25,(ADP)
4lm0,3.25,(5NI)
4zij,3.25,(SFQ)
5oxl,3.25,(2-mer)
1l5s,3.26,(URC)
3t1l,3.26,(MQT)
4egh,3.26,(0OY)
4k66,3.26,(4-mer)
4wkt,3.26,(BUB)
5yas,3.26,(FAC)
1axr,3.27,(HTP)
3ioe,3.27,(A7D)
4jbl,3.27,(MET)
5jzs,3.27,(FGZ)
5kdf,3.27,(6RU)
1bcu,3.28,(PRL)
1g9t,3.28,(5GP)
1x07,3.28,(IPE)
2xgs,3.28,(44P)
3d52,3.28,(GHR)
3ms4,3.28,(21N)
3tfu,3.28,(PL8)
3zsx,3.28,(N44)
4eh7,3.28,(0OO)
4fl1,3.28,(ANP)
4yv0,3.28,(4JW)
5moe,3.28,(OQC)
5odu,3.28,(AMG)
5yf1,3.28,(8V0)
5z4o,3.28,(HX8)
1ax1,3.29,(GLC-GAL)
4f20,3.29,(13-mer)
5duw,3.29,(5GO)
1d7j,3.3,(BUQ)
1k9r,3.3,(6-mer)
1lt6,3.3,(GAA)
1o4e,3.3,(299)
1phw,3.3,(__N)
1tpw,3.3,(PGH)
1zd2,3.3,(NC3)
1zd3,3.3,(NC4)
2aq7,3.3,(TL5)
2aqb,3.3,(TL6)
